gamma,observed_auc,auroc_lo,auroc_hi,width,wc_risk_incumbent,wc_risk_dcl,regret_incumbent,regret_dcl,selection_rate
1.0,0.5485494599994942,0.5489931217258681,0.5489931217258681,0.0,0.8049318341913433,0.6874384437831971,0.11749339040814628,3.3839282926540225e-18,0.775587566338135
1.25,0.5485494599994942,0.5367283317554087,0.5610256230724971,0.024297291317088465,0.8166890591778428,0.6893590809630674,0.1284386809980787,0.0007625564298488114,0.775587566338135
1.5,0.5485494599994942,0.5267402956354659,0.5704926177969202,0.043752322161454305,0.8262800952652033,0.6909013931370795,0.138472810140982,0.002478321156680807,0.775587566338135
2.0,0.5485494599994942,0.5114469288681373,0.5844416377329651,0.07299470886482784,0.8409956970364895,0.6931601426869214,0.1557710387268048,0.0069405741352218196,0.775587566338135
3.0,0.5485494599994942,0.4917657789397173,0.6014778086900692,0.10971202975035188,0.8599909263882961,0.6957473218669664,0.18152392952191324,0.01588276616603626,0.775587566338135
5.0,0.5485494599994942,0.4713972806214439,0.6180986241050795,0.14670134348363562,0.8797245942835212,0.6978341432898337,0.2125672370090216,0.028992930984983598,0.775587566338135
10.0,0.5485494599994942,0.45221930037967767,0.632871848046084,0.18065254766640632,0.898382806989253,0.698989719774179,0.24649134864245678,0.045290953974222024,0.775587566338135
