dataset,method,risk,auroc,accuracy,obs_auroc,worstcase_risk,minimax_regret,auroc_lo,auroc_hi,abstention_rate,risk_sd,auroc_sd,accuracy_sd,obs_auroc_sd,worstcase_risk_sd,minimax_regret_sd,auroc_lo_sd,auroc_hi_sd,abstention_rate_sd
lending_club,AIPW,0.26679923282615037,0.5878630019541438,0.9477294685990337,0.5863519597018199,0.3182173192775121,0.09770965976408245,0.5099320924061138,0.6564351427414733,,0.015916004790227395,0.016586249198411226,0.0037829511015365826,0.0062833472920688135,0.009452392839449025,0.007709747256050324,0.017354143641437902,0.016822547816843877,
lending_club,DCL(G=1),0.19718225067832829,0.6320916771780398,0.9487922705314009,0.6148329951219592,0.23317052808619354,0.003280693093234899,0.5541217970203697,0.6893903766115351,0.0,0.011011669786679869,0.002348940384620527,0.003782951101536673,0.012911521955764026,0.003023667944902812,9.041244498130803e-05,0.02461828068103298,0.02093139885375251,0.0
lending_club,DCL(G=1.5),0.19646930152023412,0.6400178594798589,0.9487922705314009,0.6226114926533879,0.23058066554031487,0.0039461725863207744,0.5538397101837766,0.6892710415547533,0.0,0.010058209227716894,0.0011737860861413185,0.003782951101536673,0.010197106126712676,0.0029684205382646176,0.00011834326263577302,0.02473764157093594,0.020872085598600137,0.0
lending_club,DCL(G=2),0.19735022571416838,0.6446329820328762,0.9487922705314009,0.6269944593661596,0.22988983499295865,0.007559977347932993,0.5533176641013892,0.6888412634038349,0.0,0.009273289779985082,0.0027988455230930024,0.003782951101536673,0.00934046435382852,0.002953607922622176,0.000212748077445893,0.02483148983768689,0.020879945277456652,0.0
lending_club,DCL(G=3),0.2017372235263992,0.6498971526910498,0.9487922705314009,0.6322108692254164,0.23175658786264317,0.01609923536659998,0.5522662707983911,0.6879171301643962,0.0,0.00801930972932242,0.004848662430695159,0.003782951101536673,0.007915261000449168,0.002995972538387018,0.0004165955421092121,0.02493503560603424,0.020904885815239763,0.0
lending_club,DCL(G=5),0.21491571986917993,0.654991465106504,0.9487922705314009,0.6373939462530149,0.24139189230833077,0.03481854968502812,0.5506066567207621,0.6864202739141444,0.0001932367149758454,0.006228445581386403,0.0067249785604518745,0.003782951101536673,0.007708245316462408,0.0032357078156351497,0.0008448537098676842,0.024992053485802596,0.020927399702944976,0.00033469580822587
lending_club,DCL-dir(G=1),0.19718225067832829,0.6320916771780398,0.9487922705314009,0.6148329951219592,0.23317052808619354,0.003280693093234899,0.5541217970203697,0.6893903766115351,0.0,0.011011669786679869,0.002348940384620527,0.003782951101536673,0.012911521955764026,0.003023667944902812,9.041244498130803e-05,0.02461828068103298,0.02093139885375251,0.0
lending_club,DCL-dir(G=1.5),0.19646930152023412,0.6400178594798589,0.9487922705314009,0.6226114926533879,0.23058066554031487,0.0039461725863207744,0.5538397101837766,0.6892710415547533,0.0,0.010058209227716894,0.0011737860861413185,0.003782951101536673,0.010197106126712676,0.0029684205382646176,0.00011834326263577302,0.02473764157093594,0.020872085598600137,0.0
lending_club,DCL-dir(G=2),0.19735022571416838,0.6446329820328762,0.9487922705314009,0.6269944593661596,0.22988983499295865,0.007559977347932993,0.5533176641013892,0.6888412634038349,0.0,0.009273289779985082,0.0027988455230930024,0.003782951101536673,0.00934046435382852,0.002953607922622176,0.000212748077445893,0.02483148983768689,0.020879945277456652,0.0
lending_club,DCL-dir(G=3),0.2017372235263992,0.6498971526910498,0.9487922705314009,0.6322108692254164,0.23175658786264317,0.01609923536659998,0.5522662707983911,0.6879171301643962,0.0,0.00801930972932242,0.004848662430695159,0.003782951101536673,0.007915261000449168,0.002995972538387018,0.0004165955421092121,0.02493503560603424,0.020904885815239763,0.0
lending_club,DCL-dir(G=5),0.21491571986917993,0.654991465106504,0.9487922705314009,0.6373939462530149,0.24139189230833077,0.03481854968502812,0.5506066567207621,0.6864202739141444,0.0001932367149758454,0.006228445581386403,0.0067249785604518745,0.003782951101536673,0.007708245316462408,0.0032357078156351497,0.0008448537098676842,0.024992053485802596,0.020927399702944976,0.00033469580822587
lending_club,DCL-dir-reg(G=1),0.19718225067832829,0.6320916771780398,0.9487922705314009,0.6148329951219592,0.23317052808619354,0.0032806930932348984,0.5541217970203697,0.6893903766115351,0.0,0.011011669786679869,0.002348940384620527,0.003782951101536673,0.012911521955764026,0.003023667944902812,9.041244498130801e-05,0.02461828068103298,0.02093139885375251,0.0
lending_club,DCL-dir-reg(G=1.5),0.1965848076020915,0.63648869603439,0.9487922705314009,0.6190057038700205,0.23161518746523968,0.002388602738723583,0.554049243599776,0.6894088503237691,0.0,0.010525040944035585,0.0006839580183369378,0.003782951101536673,0.011600130934197692,0.002989995059463576,7.39556014524449e-05,0.02467292835465498,0.020884873617831357,0.0
lending_club,DCL-dir-reg(G=2),0.19646708929623405,0.6395651409950299,0.9487922705314009,0.6221581420550956,0.23066602595770488,0.0037655098714887408,0.553877558442506,0.6892905754579909,0.0,0.010112106716907545,0.0010354749703044607,0.003782951101536673,0.01038417783070222,0.0029692072279250232,0.0001107845515050989,0.024728562572650235,0.02087260771607508,0.0
lending_club,DCL-dir-reg(G=3),0.19710238546148265,0.6437887239416349,0.9487922705314009,0.6262194627160104,0.22991484129656392,0.006797390322768124,0.5534514410925576,0.6889393526729412,0.0,0.00943626093886529,0.002527765377989463,0.003782951101536673,0.009419000161699907,0.002953202436071384,0.0001849317694563066,0.024813722610986563,0.020877925779461598,0.0
lending_club,DCL-dir-reg(G=5),0.20005257895579143,0.6483587611276421,0.9487922705314009,0.6307381964550639,0.2308060895979733,0.013147662568318258,0.5526059143258172,0.6882070638732328,0.0,0.008452310872194157,0.004267290231576417,0.003782951101536673,0.008006203907397015,0.00297879644426602,0.00032816542823254724,0.024911332890575736,0.020897705952162587,0.0
lending_club,DCL-reg(G=1),0.19718225067832829,0.6320916771780398,0.9487922705314009,0.6148329951219592,0.23317052808619354,0.003280693093234899,0.5541217970203697,0.6893903766115351,0.0,0.011011669786679869,0.002348940384620527,0.003782951101536673,0.012911521955764026,0.003023667944902812,9.041244498130803e-05,0.02461828068103298,0.02093139885375251,0.0
lending_club,DCL-reg(G=1.5),0.19698781391937237,0.6332226191098728,0.9487922705314009,0.6160738785616364,0.23271619550049005,0.0028263605075314157,0.5541305604222999,0.6894058777777707,0.0,0.010889346512780024,0.0018916773383851333,0.003782951101536673,0.012535391672286393,0.003012329670581864,7.876471955341344e-05,0.02462783633019813,0.02091707704385486,0.0
lending_club,DCL-reg(G=2),0.19671030355829847,0.6351989924274751,0.9487922705314009,0.6180008455606407,0.2319480444933891,0.002058209500489529,0.5541129865647663,0.6894037218557996,0.0,0.010659222616631386,0.0011553353105194365,0.003782951101536673,0.011876596389607584,0.0029931421325034555,5.959174631373951e-05,0.024650093881174295,0.02089879156929852,0.0
lending_club,DCL-reg(G=3),0.19652254756657914,0.6389456878114514,0.9487922705314009,0.621659890692143,0.23067724154219657,0.0037560777673132026,0.5539563520648375,0.6892878008391096,0.0,0.010154675995574562,0.0007746899078787884,0.003782951101536673,0.010612157787147818,0.0029615727234143644,9.931227777784065e-05,0.02470946634570596,0.02087824005272319,0.0
lending_club,DCL-reg(G=5),0.1976788270524176,0.6444839837378572,0.9487922705314009,0.6270201344739613,0.22994129118197307,0.008104202469884551,0.5533783441590843,0.688809942446369,0.0,0.009284144743818489,0.002684988588120365,0.003782951101536673,0.009448132348893079,0.0029450937808426017,0.00020231674649427806,0.024823214347471683,0.020881940679563483,0.0
lending_club,ERM-observed,0.24921514932835545,0.6098719347083624,0.9484057971014493,0.5921209882141588,0.30148377120216097,0.07427436380227714,0.5380730371052886,0.6757377771534053,,0.01725808699593289,0.008496553715822839,0.004555430042174374,0.009006412505283546,0.004963060764459678,0.0029986893661062245,0.020667474901385235,0.01861499747021664,
lending_club,Heckman(rho=+0.02),0.1992729864305262,0.644707562979039,0.9481159420289855,0.6452927287037598,0.24213170466686224,0.02103286753223201,0.5251696709960239,0.6646612824644094,,,,,,,,,,
lending_club,Heckman(rho=-0.10),0.20259049454644942,0.699061702434901,0.9434782608695652,0.6963311646595727,0.2443241428663191,0.024918562747282835,0.4975946839322609,0.6405380848757795,,,,,,,,,,
lending_club,Heckman(rho=-0.16),0.19521492737210014,0.6626588102228336,0.9489855072463768,0.6653309409888357,0.2509826566154556,0.030567472281737656,0.5121789626761449,0.6557805633806537,,,,,,,,,,
lending_club,IPW,0.25502163414425133,0.5976701379289023,0.9478260869565217,0.5739686147062472,0.30640121520001246,0.07886768060891824,0.5334252512862867,0.6726220280677473,,0.022709449055162756,0.027000301772876465,0.003342771766571235,0.012492454380647354,0.003242229349462369,0.0021287661511342243,0.019543816896713837,0.017883026919453104,
lending_club,Imputation,0.23029869512336573,0.5980190100102584,0.9487922705314009,0.5936343689137341,0.27353670036633804,0.04931010576096001,0.5242441917927859,0.6655779361891406,,0.01767873322443149,0.02015519621868164,0.003782951101536673,0.02283873452987094,0.005004511432044642,0.002402732512515568,0.01975858710089338,0.0181666875294567,
lending_club,Manski(G=inf),0.547385096131887,0.6651886793337926,0.9487922705314009,0.651699830308162,0.5542976737259911,0.3934927856951808,0.5085863262711011,0.6466879389834549,,0.0016928770970984833,0.017419754959715605,0.003782951101536673,0.015842760667810367,0.00022626148727780367,0.0017876358858731403,0.01538421082808497,0.012110458200574888,
lending_club,ORACLE(uncensored),0.2213261792252821,0.6047160496455654,0.9480193236714975,0.6085133892081044,0.26883456948395706,0.04278949802687787,0.5169409046914035,0.6561795207570756,,0.014837053667324714,0.018066871601754315,0.003647263012208103,0.020160055637182452,0.0040523207301086635,0.0030800831688893443,0.016167087931173912,0.014452816507293409,
mimic_sim,AIPW,0.31870183814322545,0.7640109467290093,0.9077777777777777,0.7190230134565034,0.37638612055027904,0.10796735982088472,0.6404665775016891,0.8272347587356227,,0.015343080915394446,0.017849608013183853,0.0010736308935293138,0.04014437763071515,0.023736082054053486,0.008587772178182717,0.005789537717384252,0.004573132969745644,
mimic_sim,DCL(G=1),0.2458210245998486,0.8336840930208219,0.9086507936507937,0.816166833897651,0.294360182380125,0.012154995482219183,0.7133281823017654,0.859885493190531,0.0,0.009888277074821263,0.0210868170320777,0.0002749286996141482,0.03652073646612956,0.018218720873928056,0.0009092876461848374,0.004485343294199784,0.002747275130222004,0.0
mimic_sim,DCL(G=1.5),0.24144162565243357,0.8356172103631456,0.9082539682539683,0.8184718644699333,0.2865440656557258,0.01188906724478539,0.7134328877925338,0.8597588654947707,0.006428571428571429,0.008571365675867774,0.020750885310075275,0.0005991932091484819,0.03544321197445619,0.017588445101527257,0.0011341937475145935,0.004522720310310573,0.002697406598617152,0.0015612948867385714
mimic_sim,DCL(G=2),0.24088924360085315,0.8367502047161505,0.9078571428571429,0.8199090445757956,0.2832736697065501,0.019541073279463948,0.7133580181964656,0.8595793197189309,0.011904761904761904,0.007407145351462225,0.020474610407072037,0.0008247860988422843,0.0345842332342985,0.01732684918295281,0.0019135859586312091,0.00452086505176554,0.002644121129913768,0.004212334764989079
mimic_sim,DCL(G=3),0.24479168729316828,0.8379210592518277,0.9078571428571429,0.8215087785552693,0.2830350241553263,0.034635352432825145,0.7130412724276874,0.8591842529997181,0.024206349206349204,0.005808166779953284,0.02012957571629519,0.0008247860988422843,0.03357383044677451,0.017298355507972568,0.003223160170089376,0.0045115504175553866,0.0025855945618634027,0.0038783465786890827
mimic_sim,DCL(G=5),0.2588713363099985,0.8389469412030092,0.9078571428571429,0.8234174875126375,0.2915544417692298,0.061426369261506235,0.7121629033458726,0.8582446383543546,0.04484126984126984,0.0053050135935512124,0.019525775869761352,0.0008247860988422843,0.03255349088802802,0.017646617001524458,0.0047753593983508634,0.004476212581376525,0.0025444382923875382,0.008572530793328766
mimic_sim,DCL-dir(G=1),0.2458210245998486,0.8336840930208219,0.9086507936507937,0.816166833897651,0.294360182380125,0.012154995482219183,0.7133281823017654,0.859885493190531,0.0,0.009888277074821263,0.0210868170320777,0.0002749286996141482,0.03652073646612956,0.018218720873928056,0.0009092876461848374,0.004485343294199784,0.002747275130222004,0.0
mimic_sim,DCL-dir(G=1.5),0.24142230808333154,0.8356151667454865,0.9086507936507937,0.8184690675531688,0.2866278662152535,0.011817407574143993,0.7134378753830882,0.8597627555846383,0.0044444444444444444,0.008515333759194542,0.020746870115825773,0.0002749286996141482,0.03544247039216598,0.017542540296128787,0.0011780798022523933,0.004524501949858885,0.0026996999527707814,0.00036369648372665454
mimic_sim,DCL-dir(G=2),0.24088468306525365,0.836758493876153,0.9086507936507937,0.8198998397370785,0.2833719658672589,0.01942565100363403,0.7133830195975758,0.8595994161651799,0.009206349206349206,0.0073299160898025436,0.020466536005556615,0.0002749286996141482,0.03457922094754229,0.01727273378682665,0.001995184825333363,0.004530786646099519,0.00265981441808457,0.0020249763209798525
mimic_sim,DCL-dir(G=3),0.2448133388523465,0.837963820183985,0.9086507936507937,0.8214911929756181,0.28313439266441054,0.034470638676569354,0.713112294376736,0.8592449198526234,0.02134920634920635,0.005688752693400687,0.020121674630127998,0.0002749286996141482,0.033565004716902706,0.01724366467000305,0.0033506114257621923,0.004531220251625403,0.0026242163679022564,0.0035740730949833993
mimic_sim,DCL-dir(G=5),0.25891958167122536,0.839053939320611,0.9086507936507937,0.823386141161374,0.29164744039323387,0.06123205565379348,0.7123793813214535,0.858435709519422,0.041507936507936515,0.005134245512318715,0.019517170371871582,0.0002749286996141482,0.03253847758955793,0.01759511902744576,0.004936456810605726,0.004535340331829998,0.002669695090622606,0.009584134344913233
mimic_sim,DCL-dir-reg(G=1),0.2458210245998486,0.8336840930208219,0.9086507936507937,0.816166833897651,0.294360182380125,0.012154995482219183,0.7133281823017654,0.859885493190531,0.0,0.009888277074821263,0.0210868170320777,0.0002749286996141482,0.03652073646612956,0.018218720873928056,0.0009092876461848374,0.004485343294199784,0.002747275130222004,0.0
mimic_sim,DCL-dir-reg(G=1.5),0.2430532236827627,0.8347480967904287,0.9093650793650795,0.8174337747820518,0.2900222094335195,0.008940021591718191,0.7134165660566816,0.8598368538041107,0.0,0.009173832195090178,0.02091497452615697,0.0004956347617776418,0.035915781033313096,0.017789857649878414,0.0007087203213287938,0.0045116089953114455,0.0027241772320795417,0.0
