n,seconds,per_n_log_n
1000,0.008662223815917969,8.691963992487402e-07
5000,0.04039406776428223,6.574709191844439e-07
20000,0.16170358657836914,5.658834048543058e-07
100000,0.8489434719085693,5.111148993352036e-07
400000,3.4443323612213135,4.6270807406954357e-07
