seed,gamma0,gamma,true_auc_pop,true_auc_emp,observed_auc,sharp_lo,sharp_hi,sharp_w,sharp_covers_pop,sharp_covers_emp,naive_lo,naive_hi,naive_w,naive_covers_pop,sep_lo,sep_hi,sep_w,sep_covers_pop,observed_covers,gamma_sufficient
0,1.5003640362173016,1.0,0.7001956660810209,0.7035175041665197,0.7102282985316776,0.7021576243824288,0.7021576243824291,3.3306690738754696e-16,False,False,0.7021576243824288,0.7021576243824288,0.0,False,0.7021576243824288,0.7021576243824288,0.0,False,False,False
0,1.5003640362173016,1.5,0.7001956660810209,0.7035175041665197,0.7102282985316776,0.6596149511575896,0.7394690185187885,0.07985406736119893,True,True,0.6992949673100581,0.7026696539091737,0.0033746865991155506,True,0.506484382422581,0.9282683381760758,0.4217839557534948,True,True,False
0,1.5003640362173016,2.0,0.7001956660810209,0.7035175041665197,0.7102282985316776,0.6272750097721336,0.7621967630763461,0.13492175330421252,True,True,0.6955950951926608,0.7015486358189299,0.0059535406262690715,True,0.3852587668663578,1.0,0.6147412331336422,True,True,True
0,1.5003640362173016,3.0,0.7001956660810209,0.7035175041665197,0.7102282985316776,0.5805735665625167,0.7888066231608938,0.2082330565983771,True,True,0.6865855619197218,0.6979332921641979,0.011347730244476106,False,0.23582957088279863,1.0,0.7641704291172013,True,True,True
0,1.5003640362173016,5.0,0.7001956660810209,0.7035175041665197,0.7102282985316776,0.5235954714601928,0.8139882015560492,0.2903927300958564,True,True,0.6719469273458758,0.6903110487537601,0.01836412140788435,False,0.07626695850915485,1.0,0.9237330414908451,True,True,True
0,1.5003640362173016,8.0,0.7001956660810209,0.7035175041665197,0.7102282985316776,0.4764632963588826,0.8303019492766344,0.35383865291775174,True,True,0.6572326661958511,0.6808918800972136,0.023659213901362497,False,0.0,1.0,1.0,True,True,True
0,2.001406484626721,1.0,0.6927790007468129,0.6941003022254785,0.7065264348994761,0.6970962670483126,0.6970962670483126,0.0,False,False,0.6970962670483126,0.6970962670483126,0.0,False,0.6970962670483126,0.6970962670483126,0.0,False,False,False
0,2.001406484626721,1.5,0.6927790007468129,0.6941003022254785,0.7065264348994761,0.6545826981396298,0.734497037375641,0.07991433923601121,True,True,0.6937540037422569,0.6981416652136724,0.004387661471415449,False,0.502243468275477,0.9195818745508493,0.41733840627537233,True,True,False
0,2.001406484626721,2.0,0.6927790007468129,0.6941003022254785,0.7065264348994761,0.622371670948128,0.7573196315392973,0.1349479605911693,True,True,0.6901694230740494,0.6974202957502504,0.007250872676201059,True,0.3802454073378273,1.0,0.6197545926621727,True,True,False
0,2.001406484626721,3.0,0.6927790007468129,0.6941003022254785,0.7065264348994761,0.576040109761233,0.7840617606280841,0.2080216508668511,True,True,0.6817589363526831,0.6943833378726512,0.01262440151996802,True,0.22842294751454137,1.0,0.7715770524854586,True,True,True
0,2.001406484626721,5.0,0.6927790007468129,0.6941003022254785,0.7065264348994761,0.5198449295824721,0.8093563096155189,0.2895113800330468,True,True,0.6674462369442619,0.6875080281947944,0.020061791250532535,False,0.06482183421144837,1.0,0.9351781657885516,True,True,True
0,2.001406484626721,8.0,0.6927790007468129,0.6941003022254785,0.7065264348994761,0.4737315975040855,0.8257055053502887,0.35197390784620325,True,True,0.6532026398405498,0.6788180461976769,0.025615406357127113,False,0.0,1.0,1.0,True,True,True
0,3.0053033502121442,1.0,0.6822374397907569,0.6893497252392741,0.7029022966820113,0.6908312300002697,0.6908312300002697,0.0,False,False,0.6908312300002697,0.6908312300002697,0.0,False,0.6908312300002697,0.6908312300002697,0.0,False,False,False
0,3.0053033502121442,1.5,0.6822374397907569,0.6893497252392741,0.7029022966820113,0.647918804980872,0.728672855851341,0.08075405087046905,True,True,0.6868847042763208,0.6924621761122436,0.0055774718359228315,False,0.4969202050067078,0.9088030645877312,0.4118828595810234,True,True,False
0,3.0053033502121442,2.0,0.6822374397907569,0.6893497252392741,0.7029022966820113,0.6155116430796136,0.7517835196595976,0.13627187657998396,True,True,0.6828544639855283,0.6921544631009916,0.009299999115463309,False,0.37382571996839414,1.0,0.6261742800316059,True,True,False
0,3.0053033502121442,3.0,0.6822374397907569,0.6893497252392741,0.7029022966820113,0.5691254833561639,0.7788545951137649,0.209729111757601,True,True,0.6755176720188427,0.6897169332537448,0.014199261234902116,True,0.21874082696886207,1.0,0.7812591730311379,True,True,False
0,3.0053033502121442,5.0,0.6822374397907569,0.6893497252392741,0.7029022966820113,0.5133313762724859,0.8044105374680283,0.29107916119554234,True,True,0.6614264249919053,0.6836709667404012,0.022244541748495883,True,0.04969710934925871,1.0,0.9503028906507412,True,True,True
0,3.0053033502121442,8.0,0.6822374397907569,0.6893497252392741,0.7029022966820113,0.46807752956826737,0.8208699789345288,0.3527924493662615,True,True,0.6476376125998081,0.6758780280536337,0.028240415453825607,False,0.0,1.0,1.0,True,True,True
0,5.018781584774463,1.0,0.6686134678115824,0.6741053428423004,0.6899483199884004,0.6818654718896459,0.6818654718896459,0.0,False,False,0.6818654718896459,0.6818654718896459,0.0,False,0.6818654718896459,0.6818654718896459,0.0,False,False,False
0,5.018781584774463,1.5,0.6686134678115824,0.6741053428423004,0.6899483199884004,0.6382249591859875,0.7205017654758638,0.08227680628987621,True,True,0.6779199229528916,0.6834819141766886,0.005561991223796969,False,0.48962123073653363,0.8941227246904964,0.40450149395396273,True,True,False
0,5.018781584774463,2.0,0.6686134678115824,0.6741053428423004,0.6899483199884004,0.6054238256246814,0.7441454622932586,0.13872163666857718,True,True,0.6738659691440042,0.68317484713295,0.009308877988945752,False,0.36564794033133025,1.0,0.6343520596686698,True,True,False
0,5.018781584774463,3.0,0.6686134678115824,0.6741053428423004,0.6899483199884004,0.5587469898149964,0.771857850255645,0.21311086044064864,True,True,0.6664615379333997,0.6807858433707817,0.014324305437382057,True,0.2072667619054605,1.0,0.7927332380945395,True,True,False
0,5.018781584774463,5.0,0.6686134678115824,0.6741053428423004,0.6899483199884004,0.5031410900134201,0.7979959477360118,0.2948548577225917,True,True,0.6525135277675855,0.6749509999753334,0.022437472207747833,True,0.0324173505782217,1.0,0.9675826494217783,True,True,False
0,5.018781584774463,8.0,0.6686134678115824,0.6741053428423004,0.6899483199884004,0.4586205079930841,0.8147898664808236,0.3561693584877395,True,True,0.6391228344185877,0.6675818790265713,0.02845904460798354,False,0.0,1.0,1.0,True,True,True
1,1.5151768811057467,1.0,0.7219461241161165,0.7270211641580345,0.7244762922081776,0.721128558178698,0.7211285581786984,3.3306690738754696e-16,False,False,0.721128558178698,0.721128558178698,0.0,False,0.721128558178698,0.721128558178698,0.0,False,False,False
1,1.5151768811057467,1.5,0.7219461241161165,0.7270211641580345,0.7244762922081776,0.6813092575746587,0.7556804881008512,0.07437123052619254,True,True,0.7186177383704515,0.7213357657230417,0.002718027352590191,False,0.5340806683528734,0.9353439811390446,0.4012633127861712,True,True,False
1,1.5151768811057467,2.0,0.7219461241161165,0.7270211641580345,0.7244762922081776,0.6507251862013703,0.7765580559798173,0.125832869778447,True,True,0.71400869683402,0.7202311962459698,0.0062224994119497445,False,0.4174019055916855,1.0,0.5825980944083144,True,True,True
1,1.5151768811057467,3.0,0.7219461241161165,0.7270211641580345,0.7244762922081776,0.6060023120694831,0.800828844779957,0.1948265327104739,True,True,0.7041710272472869,0.7172659913679518,0.01309496412066491,False,0.2727855270813746,1.0,0.7272144729186254,True,True,True
1,1.5151768811057467,5.0,0.7219461241161165,0.7270211641580345,0.7244762922081776,0.5502840155939948,0.8235905943797981,0.27330657878580333,True,True,0.6880161749234505,0.712050172755816,0.024033997832365483,False,0.11736166252215312,1.0,0.8826383374778469,True,True,True
1,1.5151768811057467,8.0,0.7219461241161165,0.7270211641580345,0.7244762922081776,0.5029386156473267,0.8382003984722607,0.335261782824934,True,True,0.6715273516350626,0.7068219894013786,0.03529463776631603,False,0.0,1.0,1.0,True,True,True
1,2.0477636313064163,1.0,0.7115442454895771,0.7197853401673433,0.7193593015491012,0.7117881638457939,0.7117881638457942,3.3306690738754696e-16,False,False,0.711788163845794,0.711788163845794,0.0,False,0.711788163845794,0.711788163845794,0.0,False,False,False
1,2.0477636313064163,1.5,0.7115442454895771,0.7197853401673433,0.7193593015491012,0.6713527972226844,0.7470409338373918,0.07568813661470741,True,True,0.7093375540538365,0.711278091682625,0.0019405376287885412,False,0.5243765400351155,0.9243657664475282,0.39998922641241275,True,True,False
1,2.0477636313064163,2.0,0.7115442454895771,0.7197853401673433,0.7193593015491012,0.6404392685519209,0.7684100534686679,0.12797078491674696,True,True,0.7048056923092418,0.7096824763152398,0.004876784005998003,False,0.40643681763608935,1.0,0.5935631823639107,True,True,False
1,2.0477636313064163,3.0,0.7115442454895771,0.7197853401673433,0.7193593015491012,0.5954948215277749,0.7933025979534305,0.1978077764256556,True,True,0.695203947576952,0.7060551454477045,0.010851197870752505,False,0.25903340852847234,1.0,0.7409665914715277,True,True,True
1,2.0477636313064163,5.0,0.7115442454895771,0.7197853401673433,0.7193593015491012,0.540033393971185,0.8166836647667114,0.2766502707955264,True,True,0.6795706712217333,0.700072241521603,0.020501570299869654,False,0.09928175788889103,1.0,0.900718242111109,True,True,True
1,2.0477636313064163,8.0,0.7115442454895771,0.7197853401673433,0.7193593015491012,0.49348819928708376,0.8316985042443517,0.3382103049572679,True,True,0.6638192014635977,0.6942310634225174,0.03041186195891965,False,0.0,1.0,1.0,True,True,True
1,3.155336945072095,1.0,0.6969951561208281,0.7079888944741831,0.7131618079052433,0.700356178784814,0.700356178784814,0.0,False,False,0.7003561787848142,0.7003561787848142,0.0,False,0.7003561787848142,0.7003561787848142,0.0,False,False,False
1,3.155336945072095,1.5,0.6969951561208281,0.7079888944741831,0.7131618079052433,0.658637328887535,0.7369211963716292,0.07828386748409422,True,True,0.6979211054677243,0.6993947427559204,0.0014736372881960502,False,0.5127210431487984,0.910243193878086,0.39752215072928765,True,True,False
1,3.155336945072095,2.0,0.6969951561208281,0.7079888944741831,0.7131618079052433,0.6269433230419319,0.7591495641544345,0.13220624111250256,True,True,0.6934308011809059,0.697261327513669,0.00383052633276304,True,0.3931453454986379,1.0,0.6068546545013621,True,True,False
1,3.155336945072095,3.0,0.6969951561208281,0.7079888944741831,0.7131618079052433,0.5812409551342669,0.7850844120635213,0.20384345692925443,True,True,0.6839766913236242,0.6922842367820663,0.008307545458442145,False,0.24195699115506908,1.0,0.7580430088449309,True,True,False
1,3.155336945072095,5.0,0.6969951561208281,0.7079888944741831,0.7131618079052433,0.5256028156066221,0.8094580285546623,0.28385521294804017,True,True,0.6687819942809035,0.6851299722577151,0.016347977976811645,False,0.07628100020329068,1.0,0.9237189997967094,True,True,True
