dataset,seed,gamma,n_test,cov_plugin,cov_oracle_e_est_p1,cov_est_e_oracle_p1,mae_e,mae_p1,width_plugin,width_bins10,cov_bins10,width_bins20,cov_bins20,width_bins10_smooth,cov_bins10_smooth,width_bins20_smooth,cov_bins20_smooth,dr_pi_lo,dr_pi_hi,dr_outer_lo,dr_outer_hi,dr_se_lo,dr_se_hi,plug_pi_lo,plug_pi_hi,pi_lo_true,pi_hi_true,dr_covers_prevalence_interval,plug_covers_prevalence_interval,dr_abs_err_lo,plug_abs_err_lo,dr_abs_err_hi,plug_abs_err_hi,realised_prevalence,dr_outer_covers_realised,plug_covers_realised,auc_lo_plugin,auc_hi_plugin,auc_lo_bins10,auc_hi_bins10,auc_width_bins10,auc_lo_bins20,auc_hi_bins20,auc_width_bins20,auc_lo_bins10_smooth,auc_hi_bins10_smooth,auc_width_bins10_smooth,auc_lo_bins20_smooth,auc_hi_bins20_smooth,auc_width_bins20_smooth,auc_width_plugin,true_auc_pop,auc_cov_plugin,auc_cov_bins10,auc_cov_bins20,auc_cov_bins10_smooth,auc_cov_bins20_smooth,true_auc_emp,auc_cov_emp_plugin,auc_cov_emp_bins10,auc_cov_emp_bins20,auc_cov_emp_bins10_smooth,auc_cov_emp_bins20_smooth,binlevel_cov_plugin,binlevel_cov_bins10,binlevel_cov_bins20,binlevel_cov_bins10_smooth,binlevel_cov_bins20_smooth,binlevel_n_bins
sl_bench,0,2.999294013367573,4000,0.5545,0.5515,0.9245,0.0634216772646363,0.07849226328817877,0.2099329752638932,0.3359119712833856,0.82025,0.389127075672568,0.89875,0.49075606711926845,0.9255,0.46635217274752416,0.93525,0.22457923224926135,0.4392735136255183,0.20829538671325604,0.46328476515765943,0.008308237122952368,0.01225086364930111,0.21884855911278098,0.43165483416088685,0.2292173769387529,0.4353614699512759,1.0,0.0,0.004638144689491558,0.010368817825971932,0.003912043674242416,0.0037066357903890457,0.247,1.0,1.0,0.47610627675278666,0.7149529096076631,0.4424393569067858,0.810479536708738,0.36804017980195214,0.40945522434211906,0.8350957189984102,0.4256404946562911,0.28190188913092434,0.8701686608240815,0.5882667716931571,0.3202620400458813,0.8624296400731886,0.5421676000273072,0.23884663285487645,0.6469970531899482,1.0,1.0,1.0,1.0,1.0,0.6438103859864187,1.0,1.0,1.0,1.0,1.0,,,,,,
sl_bench,1,2.999974706559502,4000,0.55425,0.56225,0.861,0.06767276461480591,0.06038980911298179,0.2129839836373775,0.35407246907949347,0.8855,0.4099042242745856,0.93825,0.4952423068797692,0.95775,0.4790801394814491,0.963,0.22831599578372486,0.4390631941403947,0.21250640849836777,0.460982847188631,0.008066264181414094,0.011183701956329669,0.2286162852813512,0.4420598986116347,0.23580103851311054,0.44640824967611287,1.0,0.0,0.007485042729385688,0.00718475323175935,0.007345055535718181,0.004348351064478173,0.25325,1.0,1.0,0.44918817810935413,0.687266359493748,0.3793208093333467,0.7740639236873664,0.3947431143540197,0.346841360659032,0.8006554929770696,0.45381413231803763,0.24841583454851965,0.8446524236358128,0.5962365890872932,0.27506203616191205,0.832374508757516,0.5573124725956039,0.2380781813843939,0.6046730226330291,1.0,1.0,1.0,1.0,1.0,0.6128418936814383,1.0,1.0,1.0,1.0,1.0,,,,,,
sl_bench,2,3.247423721518188,4000,0.64775,0.657,0.953,0.06281150233360275,0.07383981426673769,0.21833108986403277,0.35429893235079135,0.88975,0.40843151011298073,0.93375,0.5224930731837439,0.97225,0.4901049257541677,0.96725,0.20872507329282808,0.43644066187576525,0.19296852164762313,0.4587535704430475,0.008039204684111869,0.011384346214156807,0.2015878351816485,0.4268792685534798,0.22601971087046416,0.4486254888341436,1.0,0.0,0.01729463757763608,0.024431875688815663,0.012184826958378359,0.02174622028066381,0.245,1.0,1.0,0.5141379350330517,0.7560131761575695,0.44990091729530207,0.8407218754354188,0.3908209581401167,0.41650714798224214,0.8655720940603865,0.44906494607814434,0.25647747968441637,0.8996321930685794,0.6431547133841631,0.3100149542972491,0.8900220472090383,0.5800070929117892,0.24187524112451775,0.6661065962935074,1.0,1.0,1.0,1.0,1.0,0.6497030004054603,1.0,1.0,1.0,1.0,1.0,,,,,,
sl_bench,3,3.2948389389162953,4000,0.53475,0.501,0.90475,0.06776444191700762,0.0642505884555365,0.240051100002514,0.3764025921091209,0.82725,0.4307405259991368,0.8855,0.5208745110527939,0.9475,0.5033294635062696,0.939,0.23001615476292175,0.4581335483855182,0.21389139784032335,0.4804875335452497,0.008227067971548676,0.011405304044389032,0.2318758405430144,0.4637287517343828,0.23159497749331445,0.4503462711643809,1.0,0.0,0.0015788227303926983,0.0002808630496999587,0.0077872772211372565,0.013382480570001909,0.2495,1.0,1.0,0.4486895659552578,0.7108956618307586,0.37791465733377033,0.789942561515884,0.4120279041821137,0.3450335093181684,0.8148713739458516,0.46983786462768323,0.2462750316195477,0.8625468498592248,0.6162718182396771,0.27189896923493206,0.8499544483435005,0.5780554791085685,0.2622060958755008,0.6309957736183979,1.0,1.0,1.0,1.0,1.0,0.6277631879348302,1.0,1.0,1.0,1.0,1.0,,,,,,
sl_bench,4,3.006494616203646,4000,0.4775,0.46825,0.84075,0.06259840421416264,0.06797761717060014,0.21580429692140235,0.3349368179511749,0.79325,0.3868219333537055,0.867,0.49266341061836877,0.9305,0.4647839253904665,0.91975,0.2357681382129114,0.43893948618377576,0.21947929612486392,0.461035006718125,0.008310786431042508,0.011273431914379987,0.23661386258344846,0.4477336017666887,0.23611583178204826,0.4353831816669382,1.0,0.0,0.0003476935691368588,0.0004980308014002066,0.003556304516837583,0.012350420099750514,0.248,1.0,1.0,0.4854544615695602,0.7216065274678765,0.4379822998090911,0.8032986349447315,0.36531633513564044,0.4056923327530529,0.8281589384301745,0.42246660567712163,0.2722790752780172,0.8674019102321228,0.5951228349541056,0.31698097346585896,0.8579117885386573,0.5409308150727984,0.23615206589831628,0.6567460280979847,1.0,1.0,1.0,1.0,1.0,0.6543907107927248,1.0,1.0,1.0,1.0,1.0,,,,,,
lending_club,0,2.0000000000159712,2465,0.5022312373225152,0.4953346855983773,1.0,0.07906060265167383,0.015469075729420865,0.02687471504506666,0.11366639536778986,0.9456389452332657,0.15783048619527623,0.9829614604462474,0.19973454382015796,0.9724137931034482,0.20015349799391444,0.9866125760649087,0.030362548373472933,0.054786638609482984,0.022416293196887704,0.06850074100423657,0.004054286323250975,0.006997119591445904,0.03202812722534888,0.06018680660969654,0.03795396165396204,0.06668068192319496,1.0,0.0,0.007591413280489106,0.005925834428613157,0.011894043313711973,0.006493875313498418,0.046247464503042596,1.0,1.0,0.5223688483135331,0.6609961683168519,0.3409849986897575,0.8533948793457212,0.5124098806559637,0.25881484646648334,0.8950991558820175,0.6362843094155342,0.13894665388366062,0.8958753320883899,0.7569286782047293,0.14963272906818095,0.9134775862456346,0.7638448571774537,0.1386273200033188,0.5665031296677613,1.0,1.0,1.0,1.0,1.0,0.6207287679001843,1.0,1.0,1.0,1.0,1.0,,,,,,
lending_club,1,2.0000000000297806,2465,0.45517241379310347,0.44503042596348885,1.0,0.0780182667419253,0.017002635891576603,0.02677782656797318,0.11553204749644518,0.9070993914807303,0.15859659721703812,0.9626774847870182,0.21647934490354795,0.9501014198782961,0.2115545789504484,0.9703853955375253,0.041054245577019935,0.0840282287821466,0.025103435536155676,0.1274637589210032,0.008138317931697834,0.022161391985501027,0.03392137738820817,0.0616621592543566,0.039032449878096426,0.06908765715397068,1.0,0.0,0.002021795698923509,0.005111072489888256,0.014940571628175914,0.007425497899614081,0.05476673427991886,1.0,1.0,0.5384563625853068,0.6752938795033726,0.3531660746226224,0.8469000078046084,0.493733933181986,0.2685175253076873,0.888519322155687,0.6200017968479996,0.12401431344751383,0.9004189698090193,0.7764046563615055,0.13302971868797026,0.9145083390730429,0.7814786203850725,0.13683751691806578,0.5689465647398433,1.0,1.0,1.0,1.0,1.0,0.6047210300429184,1.0,1.0,1.0,1.0,1.0,,,,,,
lending_club,2,1.9999999999384956,2465,0.39594320486815415,0.3979716024340771,1.0,0.08052702666725337,0.021069783845100633,0.028272496975535105,0.10834811640343633,0.8977687626774847,0.15069061567007105,0.9699797160243407,0.17797612891221995,0.9683569979716025,0.18839674843024878,0.9837728194726166,0.03317205814930442,0.06083842349569908,0.024995225259566774,0.0747527191881607,0.004171930175368252,0.007099260905922666,0.03489415498441494,0.06490486672019966,0.038854774856965923,0.06834937768414455,1.0,0.0,0.005682716707661503,0.003960619872550981,0.007510954188445468,0.003444510963944894,0.05354969574036511,1.0,1.0,0.5751839795503864,0.7091832164812207,0.37109753689180586,0.8684829056463159,0.49738536875451006,0.27425713094805176,0.9049712790799974,0.6307141481319456,0.25142572205693103,0.9367032891479102,0.6852775670909792,0.21992325762640624,0.9409231832095962,0.72099992558319,0.13399923693083438,0.559234221249774,0.0,1.0,1.0,1.0,1.0,0.5549818805283872,0.0,1.0,1.0,1.0,1.0,,,,,,
lending_club,3,1.9999999999053382,2465,0.4559837728194726,0.45841784989858014,1.0,0.08291016929431003,0.01677093596083782,0.025649910813698353,0.10584379008418847,0.9529411764705882,0.143004625764827,0.9716024340770791,0.1971433879897882,0.9890466531440162,0.1905634516438723,0.9862068965517241,0.03266175031234472,0.058596551663509314,0.024133057735364845,0.07379107096569829,0.004351453722748538,0.0077524482194782154,0.0322964076236478,0.05777232565554389,0.03887968926708689,0.06852835553390597,1.0,0.0,0.0062179389547421665,0.00658328164343909,0.00993180387039666,0.010756029878362085,0.051115618661257606,1.0,1.0,0.5501865938730119,0.6866836389630576,0.30817373069496434,0.860381747758395,0.5522080170634307,0.24331832729526492,0.8984730679984365,0.6551547407031716,0.10678823745169423,0.9247090863629834,0.8179208489112892,0.11304774046579034,0.9301387404246023,0.817090999958812,0.13649704509004568,0.5682881777035906,1.0,1.0,1.0,1.0,1.0,0.6113452363986781,1.0,1.0,1.0,1.0,1.0,,,,,,
lending_club,4,2.000000000132596,2465,0.39594320486815415,0.3947261663286004,1.0,0.08117379227625873,0.019030060272840498,0.023694093247947016,0.11380242054504823,0.944421906693712,0.15661774503789652,0.9707910750507099,0.2158865971017335,0.9764705882352941,0.21323422587695778,0.983367139959432,0.03596209095817791,0.0660831826447821,0.02729326941973384,0.08135031392589087,0.0044229494045924436,0.007789495828257021,0.033911061307191154,0.0585690395472486,0.03930338456935545,0.0695765743312461,1.0,0.0,0.0033412936111775413,0.005392323262164295,0.0034933916864639952,0.011007534783997505,0.05517241379310345,1.0,1.0,0.5425243745570077,0.680171527918015,0.3428664060601315,0.8597243918674837,0.5168579858073522,0.2592277164143431,0.8994265181708425,0.6401988017564995,0.1299990651316184,0.924563907113789,0.7945648419821706,0.1269468189470082,0.9320578564233696,0.8051110374763614,0.1376471533610073,0.5542490395238544,1.0,1.0,1.0,1.0,1.0,0.5781072411789963,1.0,1.0,1.0,1.0,1.0,,,,,,
compas,0,1.885,1514,,,,,,0.10125717292520867,0.31407333669280957,,0.396417386144754,,0.472624534625651,,0.472396578964613,,0.38041392149982783,0.4794513021307783,0.3509587468646213,0.5112416116784275,0.015028426474948115,0.016219843731010954,0.3693746186552843,0.46985024354686816,,,,,,,,,0.4537648612945839,1.0,1.0,0.6294610816591254,0.7284189683530357,0.5040188975037491,0.8181930342975691,0.31417413679382,0.4554329048058473,0.8545018325065571,0.3990689277007098,0.3461115439469731,0.8709701649294846,0.5248586209825116,0.37492635188992574,0.8780658835296219,0.5031395316396962,0.09895788669391026,,,,,,,0.6917753969469277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
compas,1,1.885,1514,,,,,,0.1018672759609305,0.3100787261761181,,0.39102191999938263,,0.45273287463733364,,0.4566263818250069,,0.3663267730729149,0.4711213759475162,0.3375309650775969,0.5018537984072582,0.014692008742229782,0.015680095502853868,0.3624587475521506,0.46948989071268304,,,,,,,,,0.45310435931307796,1.0,1.0,0.6142439760719088,0.713116808946637,0.5170345268899773,0.8224606310497051,0.3054261041597278,0.4683581187007413,0.854016780932508,0.3856586622317667,0.3785201516205072,0.8720602593781114,0.4935401077576042,0.4003055484006413,0.8735769676428589,0.47327141924221755,0.09887283287472814,,,,,,,0.6977894677539753,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,10.0
compas,2,1.885,1514,,,,,,0.1042360437481673,0.2942708484874403,,0.3743511071955888,,0.44598787320134037,,0.44598025832515614,,0.3664583704514792,0.4697043779484638,0.33646378839497476,0.5016014738162645,0.015303639400059329,0.016274327548567693,0.3661292552908537,0.46904758935080665,,,,,,,,,0.45310435931307796,1.0,1.0,0.619747518535542,0.721586728199433,0.5482647909236764,0.8377344326545912,0.28946964173091483,0.5021701257618774,0.8702135003655769,0.3680433746036995,0.39607420139953364,0.8886155346155845,0.49254133321605087,0.42648177661659614,0.8920604366341469,0.46557866001755077,0.10183920966389104,,,,,,,0.679852220391262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
