n,seconds,per_n_log_n
1000,0.005817413330078125,5.837386365096681e-07
5000,0.027174949645996094,4.423109657290418e-07
20000,0.10910487174987793,3.818136481598129e-07
100000,0.6109821796417236,3.678479257766357e-07
400000,2.47609543800354,3.32636119623702e-07
