method,risk,auroc,accuracy,balanced_accuracy,brier,obs_risk,obs_auroc,obs_accuracy,obs_balanced_accuracy,obs_brier,auroc_lo,auroc_hi,auroc_width,worstcase_risk,minimax_regret,dataset,seed,gamma0,selection_rate,true_prevalence,abstention_rate,gamma,criterion,direction
DCL-reg(G=2),0.53937405783476,0.6643671562492552,0.75625,0.5235151560044039,0.17817757816938862,0.5782994423699821,0.6774342677909525,0.704215373715905,0.5265914656194899,0.19626246156197827,0.48945497242918284,0.72489041869392,0.23543544626473717,0.6936927677743103,0.036916391021816666,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,2.0,regret,two-sided
DCL(G=3),0.6009758706899834,0.6255734844552856,0.7558928571428571,0.5062704567865736,0.20576406575684644,0.6036555156478517,0.6576960541240241,0.6971307120085016,0.5080552359033371,0.20723184801736394,0.47765140641723614,0.7094036320099995,0.23175222559276332,0.6604485167762955,0.09854358973697243,sl_bench,0,2.999294013367573,0.5029375,0.246,0.2544642857142857,3.0,risk,two-sided
DCL-reg(G=3),0.5433948657230916,0.6624865336067849,0.75625,0.5235151560044039,0.17973844091393715,0.5793646234566822,0.6772340352856788,0.704215373715905,0.5265914656194899,0.19662136449904347,0.4901768731244671,0.7240985834738874,0.23392171034942033,0.6879200137202433,0.03115054265237112,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,3.0,regret,two-sided
DCL(G=5),0.6322745531450761,0.5922106077885005,0.7541071428571429,0.502412162594299,0.22060274070726418,0.6249079857608374,0.6326581571778054,0.69394261424017,0.5028768699654775,0.21716842737776218,0.4633598718541359,0.6878556724803426,0.22449580062620672,0.6644600581372405,0.13015142339576055,sl_bench,0,2.999294013367573,0.5029375,0.246,0.4398214285714286,5.0,risk,two-sided
DCL-reg(G=5),0.5505817833570414,0.6586369841040405,0.75625,0.5235151560044039,0.18262906113518412,0.58180573202145,0.6762316949210436,0.704215373715905,0.5265914656194899,0.19752011008497225,0.4907724355464042,0.722343250202468,0.23157081465606383,0.6802645150753024,0.03943623360002417,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,5.0,regret,two-sided
Manski(G=inf),0.6765341645037279,0.5231286750200742,0.7532142857142857,0.5003615328994938,0.2419263990769396,0.6676728123279838,0.5621957496528321,0.6925256818986893,0.5005753739930955,0.23761948057000912,0.46553612484569684,0.5785776352263793,0.11304151038068244,0.6819924584825798,0.17218195426397434,sl_bench,0,2.999294013367573,0.5029375,0.246,,,,
ORACLE(uncensored),0.5183717252041774,0.6819753602083363,0.7619642857142858,0.5353271739855431,0.1707274605366288,0.5797476965969082,0.6818588172383698,0.7091746369110875,0.5375220991904718,0.1967741793122018,0.4698324500267978,0.7079414763995652,0.23810902637276737,0.7772598088718712,0.12503817831741929,sl_bench,0,2.999294013367573,0.5029375,0.246,,,,
DCL-dir(G=1),0.5366900149165015,0.6654108606643461,0.75625,0.5235151560044039,0.17716210427014906,0.5777715185475745,0.6772876269267961,0.704215373715905,0.5265914656194899,0.19610472142887242,0.4887771759250431,0.7253405157268823,0.2365633398018392,0.6984363292926656,0.04165995254017189,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,1.0,risk,censored-lower
DCL-dir-reg(G=1),0.5366900149165015,0.6654108606643461,0.75625,0.5235151560044039,0.17716210427014906,0.5777715185475745,0.6772876269267961,0.704215373715905,0.5265914656194899,0.19610472142887242,0.4887771759250431,0.7253405157268823,0.2365633398018392,0.6984363292926656,0.04165995254017189,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,1.0,regret,censored-lower
DCL-dir(G=1.5),0.5367310794033912,0.6654379520554393,0.7580357142857143,0.5140103643432027,0.17718944132930473,0.5784892434431734,0.6773114781516891,0.7027984413744244,0.5188586629415569,0.19645095382008243,0.48878605665137637,0.7253176038792114,0.23653154722783504,0.6979372525776096,0.04203460862078595,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0175,1.5,risk,censored-lower
