n,ensemble,naive_total,naive_aleatoric,naive_epistemic,censoring,sampling,credal_total,ratio_epistemic_to_censoring,naive_inside_identified,mean_abs_calibration_error,seed
2000,logistic,0.49847633698328364,0.4816804452581805,0.016795891725103203,0.12783112471002706,0.18339565772004762,0.6254631651108246,0.13139125360277562,False,0.06032159839756285,0
2000,mlp,0.3613589966485024,0.16020892062975176,0.2011500760187507,0.12783112471002706,0.5309322102246158,0.6604399394161808,1.573561028075446,False,0.17160797219622953,0
5000,logistic,0.585358721966944,0.5785323690555718,0.006826352911372208,0.1324176022231494,0.062415125362273796,0.6576468878239985,0.05155170307243954,True,0.02533565814026925,0
5000,mlp,0.4817853194805426,0.189279345983544,0.29250597349699853,0.1324176022231494,0.5500265954083174,0.6840862800542623,2.2089659424890438,False,0.15008482179445912,0
12000,logistic,0.5718212492690452,0.5687466948907548,0.003074554378290306,0.13667036094245646,0.025423495083121358,0.6419670975868382,0.02249613125397988,True,0.02820423066531807,0
12000,mlp,0.501676307584821,0.22486356859039403,0.27681273899442704,0.13667036094245646,0.5438982673203399,0.6847812515408833,2.0254043165289946,False,0.1364511523241625,0
30000,logistic,0.5390922482513699,0.5374963429537845,0.0015959052975854445,0.1345087494823468,0.009428266008229123,0.6007489066651717,0.011864695075429975,True,0.01174056649904638,0
30000,mlp,0.49068896605870216,0.2689201737811327,0.22176879227756938,0.1345087494823468,0.5235153874929107,0.6716078041829046,1.6487313511651875,False,0.10991401044686384,0
70000,logistic,0.5237902210306491,0.5230552502503343,0.0007349707803148721,0.14383627524356785,0.0032220809546157306,0.5962271162886222,0.0051097734495021896,True,0.010802151324980904,0
70000,mlp,0.5016147421958439,0.3655683357843436,0.13604640641150023,0.14383627524356785,0.4613567383154156,0.6707527573562667,0.9458421123678536,False,0.07914083544342995,0
2000,logistic,0.49342546954806443,0.47769707112431875,0.015728398423745734,0.13254533886647696,0.16290538235930413,0.6085280842689654,0.11866428920288288,True,0.049167731758829894,1
2000,mlp,0.3535862073525902,0.16721689053141947,0.18636931682117072,0.13254533886647696,0.5011478717016046,0.6365485190934611,1.406079749125805,False,0.1807494714380153,1
5000,logistic,0.5604809335909765,0.55431263027348,0.006168303317496612,0.13422686866304748,0.06741985846624803,0.6493083815615682,0.04595431137547456,True,0.035105460391596295,1
5000,mlp,0.4284279201983941,0.1724270467115045,0.25600087348688955,0.13422686866304748,0.5401394124627777,0.6759682835334812,1.907225252564998,False,0.170325755244584,1
12000,logistic,0.5720117346751357,0.5687981195675116,0.0032136151076240494,0.13513989696869594,0.03803336556058465,0.6587438478139598,0.023779913850078317,True,0.02805258900277682,1
12000,mlp,0.4982761606877631,0.20878945657502535,0.2894867041127377,0.13513989696869594,0.5496749125923535,0.6874777384584009,2.1421261271184404,False,0.13945079630613202,1
30000,logistic,0.5429185564929236,0.5414214222881881,0.001497134204735435,0.13915595732526406,0.011781251355251682,0.6152601073353282,0.010758678489315578,True,0.012610290953624089,1
30000,mlp,0.5043195268024829,0.2790727412283089,0.22524678557417405,0.13915595732526406,0.5245614444041472,0.6784411918741046,1.618664338226503,False,0.10762977540347173,1
70000,logistic,0.5482353690479386,0.5474662264555683,0.0007691425923702235,0.14654761566582977,0.0050366138091657115,0.6232094848601326,0.005248414236394588,True,0.010750016711002655,1
70000,mlp,0.5301329060975027,0.39095196299329293,0.13918094310420986,0.14654761566582977,0.45912535155294193,0.6809782478439356,0.949731883878493,False,0.08108371753477263,1
2000,logistic,0.5654368929581989,0.5500845114256272,0.01535238153257171,0.12944759485636353,0.13715467442014126,0.6539492950797867,0.11859920263182086,True,0.04935056245281379,2
