dataset,method,risk,auroc,accuracy,obs_auroc,worstcase_risk,minimax_regret,auroc_lo,auroc_hi,abstention_rate,risk_sd,auroc_sd,accuracy_sd,obs_auroc_sd,worstcase_risk_sd,minimax_regret_sd,auroc_lo_sd,auroc_hi_sd,abstention_rate_sd
lending_club,AIPW,0.28020960579912296,0.5759673635445579,0.9465507246376811,0.5724314320765033,0.3090099721284755,0.09707211343139152,0.5084661024401329,0.6558276391664245,,0.02411140903736317,0.02021779455069988,0.0037936703161382916,0.024169865619878897,0.014343558976690977,0.006410285042393635,0.012745933318230623,0.012045721348032773,
lending_club,DCL(G=1),0.20130526404819665,0.630894361663362,0.9477101449275362,0.6111026605094214,0.2244790749729208,0.0031487251992622124,0.5554827210062329,0.6904618700031443,0.0,0.010850086549367095,0.005162768887526872,0.003377775566830721,0.012058847008038753,0.012170959526990339,0.00019177748659615312,0.018308100933728977,0.015335701971814285,0.0
lending_club,DCL(G=1.5),0.19987025696584487,0.6388917412311071,0.9477101449275362,0.6193724836428202,0.22199459885926945,0.0037649568209866756,0.5552228499869032,0.690301026981121,0.0,0.009601027226896104,0.0032521626799630844,0.003377775566830721,0.012390297480591611,0.012022421680079448,0.00026239122897222145,0.018388692743826988,0.015314941924993867,0.0
lending_club,DCL(G=2),0.20010870778466883,0.6434344113723507,0.9477101449275362,0.6241601710167215,0.2213303497736586,0.007225261411187535,0.5547122715963498,0.6898377384755223,0.0,0.0085694781673947,0.0030444246231619457,0.003377775566830721,0.013289330592447907,0.011984882697992128,0.0004832370757880539,0.018466470864400873,0.01534218420580037,0.0
lending_club,DCL(G=3),0.203388791617846,0.6485965713717613,0.9477101449275362,0.6297239129223015,0.22313251556454458,0.015428902331409658,0.5536750292066348,0.6888713703406923,0.0,0.006966005764586616,0.0038735329685802037,0.003377775566830721,0.01471160789687425,0.012076692785494433,0.0009652885543630562,0.018568003489983765,0.01539235665956111,0.0
lending_club,DCL(G=5),0.21485226145814176,0.6534934545351792,0.9477101449275362,0.6351058536930823,0.23247991686958674,0.03351159133580972,0.5520248435255456,0.6873364429240059,0.00011594202898550724,0.005057212373601441,0.005305342365025695,0.003377775566830721,0.016490040752295564,0.012491152229892003,0.0018877885683578558,0.018660709676807923,0.015456137437646707,0.00025925425826084516
lending_club,DCL-dir(G=1),0.20130526404819665,0.630894361663362,0.9477101449275362,0.6111026605094214,0.2244790749729208,0.0031487251992622124,0.5554827210062329,0.6904618700031443,0.0,0.010850086549367095,0.005162768887526872,0.003377775566830721,0.012058847008038753,0.012170959526990339,0.00019177748659615312,0.018308100933728977,0.015335701971814285,0.0
lending_club,DCL-dir(G=1.5),0.19987025696584487,0.6388917412311071,0.9477101449275362,0.6193724836428202,0.22199459885926945,0.0037649568209866756,0.5552228499869032,0.690301026981121,0.0,0.009601027226896104,0.0032521626799630844,0.003377775566830721,0.012390297480591611,0.012022421680079448,0.00026239122897222145,0.018388692743826988,0.015314941924993867,0.0
lending_club,DCL-dir(G=2),0.20010870778466883,0.6434344113723507,0.9477101449275362,0.6241601710167215,0.2213303497736586,0.007225261411187535,0.5547122715963498,0.6898377384755223,0.0,0.0085694781673947,0.0030444246231619457,0.003377775566830721,0.013289330592447907,0.011984882697992128,0.0004832370757880539,0.018466470864400873,0.01534218420580037,0.0
lending_club,DCL-dir(G=3),0.203388791617846,0.6485965713717613,0.9477101449275362,0.6297239129223015,0.22313251556454458,0.015428902331409658,0.5536750292066348,0.6888713703406923,0.0,0.006966005764586616,0.0038735329685802037,0.003377775566830721,0.01471160789687425,0.012076692785494433,0.0009652885543630562,0.018568003489983765,0.01539235665956111,0.0
