dataset,gamma,gamma0,auroc_lo,auroc_hi,wc_risk_incumbent,wc_risk_dcl
sl_bench,1.0,2.999294013367573,0.6103556974625108,0.6103556974625111,0.6355019812990377,0.5949577635560858
sl_bench,1.05,2.999294013367573,0.604636705271152,0.616020484468688,0.6410080202990223,0.5989039329587513
sl_bench,1.1168213755182226,2.999294013367573,0.59733556707647,0.6230982139001294,0.6481318631020612,0.6040045332337665
sl_bench,1.1878952236327758,2.999294013367573,0.5899675263956334,0.6300714149607838,0.6554310362699142,0.6092135849664383
sl_bench,1.2634921691705554,2.999294013367573,0.5825441177407589,0.6369310355940376,0.6628995637521704,0.6145141920004225
sl_bench,1.343900059361488,2.999294013367573,0.5750769680465011,0.6436685003325932,0.6705306331688263,0.6198888226971921
sl_bench,1.429425059862017,2.999294013367573,0.5675783850366389,0.6502759908816281,0.6783165971768992,0.6253194692449769
sl_bench,1.5203928205288717,2.999294013367573,0.5600604743729325,0.6567464774323144,0.6862489825688549,0.6307878139675516
sl_bench,1.6171497153819854,2.999294013367573,0.5525353378778259,0.66307364763865,0.6943185075167193,0.636275399984375
sl_bench,1.720064161477915,2.999294013367573,0.5450152955497265,0.669251747517177,0.7025151072628317,0.6417638034594606
sl_bench,1.829528021715584,2.999294013367573,0.537512381750689,0.6752762323395284,0.7108279684280403,0.6472348046301404
sl_bench,1.9459580969157437,2.999294013367573,0.5300390221002238,0.6811425405004677,0.719245571963149,0.6526705548304796
sl_bench,2.0697977128554887,2.999294013367573,0.5226079705916152,0.686847601097672,0.7277557446127237,0.6580537368169617
sl_bench,2.201518408300703,2.999294013367573,0.51523014774968,0.6923883461805894,0.7363457185958995,0.6633677158632109
sl_bench,2.3416217304638844,2.999294013367573,0.5079170591441468,0.6977631758405353,0.7450021990410423,0.6685966793107287
sl_bench,2.4906411447238437,2.999294013367573,0.5006793983042355,0.702970744882558,0.7537114385450043,0.6737257625366062
sl_bench,2.6491440658788226,2.999294013367573,0.49352681601232073,0.7080102479761987,0.7624593180684364,0.6787411596179826
sl_bench,2.817734018667355,2.999294013367573,0.4864695679521322,0.7128812235900205,0.7712314332314306,0.6836302173263809
sl_bench,2.9970529357833944,2.999294013367573,0.4795168083821882,0.7175843480747537,0.7800131849437045,0.6883815114617784
sl_bench,3.18778360213575,2.999294013367573,0.4726755430607793,0.7221206650521809,0.7887898731951759,0.692984904924852
sl_bench,3.3906522546587454,2.999294013367573,0.46595432015767463,0.7264914314572964,0.7975467927500941,0.6974315873146533
sl_bench,3.6064313475732783,2.999294013367573,0.4593600432319032,0.7306983020602376,0.8062693294339619,0.7017140962169945
sl_bench,3.835942493627453,2.999294013367573,0.45289932185528536,0.7347439449458859,0.8149430556793948,0.705826320705762
sl_bench,4.080059592516012,2.999294013367573,0.4465781663973089,0.7386308070748828,0.8235538240058371,0.7097634879061947
sl_bench,4.339712158390524,2.999294013367573,0.4404020893522038,0.7423617138166764,0.8320878571484558,0.7135221337582364
sl_bench,4.615888859130343,2.999294013367573,0.43437535730619564,0.7459397013336984,0.8405318336223158,0.717100059363438
sl_bench,4.909641280850655,2.999294013367573,0.4285024463475112,0.7493681767952848,0.848872967606626,0.7204962744963558
sl_bench,5.222087931981597,2.999294013367573,0.4227858167647834,0.7526506519017399,0.8570990821571234,0.7237109300085777
sl_bench,5.554418502164569,2.999294013367573,0.41722861603007527,0.7557909725783452,0.8651986748983398,0.7267452409498056
sl_bench,5.907898392182189,2.999294013367573,0.4118331301229531,0.7587930665391853,0.873160975506817,0.7296014022768986
sl_bench,6.2838735321702925,2.999294013367573,0.4065999260496735,0.7616610147442006,0.8809759944661699,0.7322824990209917
sl_bench,6.683775506458074,2.999294013367573,0.40152975919496126,0.764398831050145,0.888634562749951,0.7347924127386571
sl_bench,7.10912700455001,2.999294013367573,0.39662292963748547,0.7670106108535304,0.89612836226334,0.7371357259904452
sl_bench,7.561547619005033,2.999294013367573,0.3918788538767928,0.7695006083564617,0.9034499470448636,0.7393176264747641
sl_bench,8.042760012289277,2.999294013367573,0.38729739660383145,0.7718729957964994,0.910592755390148,0.7413438123031123
sl_bench,8.554596476083683,2.999294013367573,0.38287711421890125,0.7741319822706604,0.917551113207347,0.7432203997405967
sl_bench,9.099005908022017,2.999294013367573,0.378615990553994,0.776281726142158,0.9243202290451744,0.7449538345598727
sl_bench,9.678061232424364,2.999294013367573,0.3745126873209777,0.7783263704794939,0.9308961813471097,0.7465508079732432
sl_bench,10.293967293281677,2.999294013367573,0.37056512749781567,0.7802700130922726,0.9372758985777944,0.7480181779224121
sl_bench,10.949069249545177,2.999294013367573,0.36677057311329064,0.7821166853896513,0.9434571329391109,0.749362896323359
sl_bench,11.64586150468697,2.999294013367573,0.3631265265548186,0.7838703499913433,0.949438428443967,0.7505919426894234
sl_bench,12.386997204532587,2.999294013367573,0.359630278630802,0.7855348931965888,0.9552190841460038,0.7517122643925696
sl_bench,13.175298339529963,2.999294013367573,0.356278369481542,0.7871141210139165,0.9607991133345434,0.7527307236737726
sl_bench,14.013766489920767,2.999294013367573,0.35306750627728306,0.7886117470630947,0.9661791994977378,0.7536540513805534
sl_bench,14.905594254728081,2.999294013367573,0.3499942837681751,0.7900313876526206,0.9713606498350892,0.7544888072941619
sl_bench,15.854177408078028,2.999294013367573,0.34705491168492647,0.7913765577785333,0.9763453470655202,0.7552413468113587
sl_bench,16.863127829142506,2.999294013367573,0.3442457032748323,0.7926506810054422,0.981135700231309,0.7559177936661057
sl_bench,17.936287254935763,2.999294013367573,0.3415626797904462,0.7938570508200566,0.9857345951438721,0.7565240183142548
sl_bench,19.077741908330783,2.999294013367573,0.33900201207265096,0.7949988700909274,0.9901453450568487,0.7570656215584752
sl_bench,20.291838056993928,2.999294013367573,0.33655967383374563,0.7960792296320436,0.9943716420874178,0.7575479229599495
sl_bench,21.583198562480927,2.999294013367573,0.3342317749513484,0.7971010932968654,0.9984175098402422,0.7579759535662289
sl_bench,22.956740482507495,2.999294013367573,0.33201428994946414,0.7980673345611925,1.0022872576216355,0.7583544524794348
sl_bench,24.417693793417985,2.999294013367573,0.32990333513906833,0.7989807007416662,1.0059854365660414,0.7586878667939672
sl_bench,25.9716213041408,2.999294013367573,0.32789491131055676,0.799843863525224,1.009516797933919,0.7589803544463425
sl_bench,27.624439837456094,2.999294013367573,0.3259851006640579,0.8006593407675892,1.012886253780699,0.7592357895400224
sl_bench,29.38244275922676,2.999294013367573,0.3241700626533554,0.801429579121824,1.0160988401413253,0.7594577697335867
sl_bench,31.252323941376254,2.999294013367573,0.3224459813178573,0.8021568976816851,1.0191596828246148,0.7596496253098681
sl_bench,33.2412032498561,2.999294013367573,0.32080910916863736,0.802843541958071,1.022073965866535,0.7598144295754499
sl_bench,35.356653654652476,2.999294013367573,0.3192557697508695,0.8034916296590944,1.0248469026516935,0.7599550102730803
sl_bench,37.60673006505749,2.999294013367573,0.31778240837601046,0.8041032112953559,1.0274837096778493,0.7600739617231396
sl_bench,40.0,2.999294013367573,0.3163855388914221,0.8046802116257742,1.0299895829089403,0.7601736574434858
lending_club,1.0,2.0000000000159712,0.6096945749972279,0.6096945749972281,0.23381760897181536,0.18532748662234805
lending_club,1.05,2.0000000000159712,0.6047468477782784,0.6146271707838675,0.23778356915879964,0.18802125027756295
lending_club,1.1168213755182226,2.0000000000159712,0.5984706483420997,0.620841019052402,0.24305248232174553,0.19159465370802917
lending_club,1.1878952236327758,2.0000000000159712,0.5921753314352752,0.6270255418162104,0.24861788959347084,0.19535861111844788
lending_club,1.2634921691705554,2.0000000000159712,0.5858635845173792,0.6331769838168403,0.2544941629193526,0.19931732973247873
lending_club,1.343900059361488,2.0000000000159712,0.5795372213331795,0.639292574523038,0.26069609119840825,0.20347492186196842
lending_club,1.429425059862017,2.0000000000159712,0.573199658050601,0.6453699045415799,0.26723885783665285,0.207835368553395
lending_club,1.5203928205288717,2.0000000000159712,0.5668528267779585,0.6514051449032913,0.27413801309682206,0.21240248100697742
lending_club,1.6171497153819854,2.0000000000159712,0.5604988314151674,0.657395053173595,0.28140944079963714,0.21717985990834207
lending_club,1.720064161477915,2.0000000000159712,0.5541407979843798,0.6633365755459835,0.28906931893429905,0.22217085284663454
lending_club,1.829528021715584,2.0000000000159712,0.5477809048276088,0.6692267622490243,0.2971340737459543,0.22737851003028017
lending_club,1.9459580969157437,2.0000000000159712,0.5414210991214353,0.6750609919215992,0.3056203268866743,0.23280553855195987
lending_club,2.0697977128554887,2.0000000000159712,0.5350636215238547,0.6808367242248853,0.314544835245254,0.2384542554973945
lending_club,2.201518408300703,2.0000000000159712,0.5287094478058846,0.6865501792846667,0.3239244231110562,0.24432654023767517
lending_club,2.3416217304638844,2.0000000000159712,0.5223621074818322,0.6921978652661438,0.33377590637939647,0.25042378629143897
lending_club,2.4906411447238437,2.0000000000159712,0.5160226295480111,0.6977769375475349,0.3441160085716237,0.256746853190311
lending_club,2.6491440658788226,2.0000000000159712,0.5096918349362789,0.7032833330466473,0.35496126852303356,0.26329601882770076
lending_club,2.817734018667355,2.0000000000159712,0.5033725489394397,0.7087142765515908,0.3663279396867898,0.2700709328160908
lending_club,2.9970529357833944,2.0000000000159712,0.49706870732508396,0.7140666459181679,0.3782318811125441,0.2770705714200786
lending_club,3.18778360213575,2.0000000000159712,0.4907804415944842,0.71933735680771,0.3906884402845684,0.28429319467021835
lending_club,3.3906522546587454,2.0000000000159712,0.48451375580549094,0.7245241241455047,0.40371232814564556,0.29173630629463515
lending_club,3.6064313475732783,2.0000000000159712,0.4782688606864811,0.7296243860039373,0.41731748678891184,0.2993966171298966
lending_club,3.835942493627453,2.0000000000159712,0.47205300210741247,0.7346371575187105,0.4315169504690248,0.30727001268811915
lending_club,4.080059592516012,2.0000000000159712,0.4658653559439258,0.7395563099036341,0.4463227007644995,0.3153515255622407
lending_club,4.339712158390524,2.0000000000159712,0.45970555539202096,0.744381682253367,0.4617455169122886,0.32363531334431944
lending_club,4.615888859130343,2.0000000000159712,0.45357803512387795,0.7491120351503063,0.47779482253045213,0.33211464271132746
lending_club,4.909641280850655,2.0000000000159712,0.4474860554835808,0.7537452625410671,0.4944785301412043,0.34078188029811
lending_club,5.222087931981597,2.0000000000159712,0.44143034307868234,0.7582792751607801,0.5118028851001992,0.34962849092715487
lending_club,5.554418502164569,2.0000000000159712,0.435414957254817,0.7627124100639215,0.529772310723535,0.35864504369910966
lending_club,5.907898392182189,2.0000000000159712,0.42944392726521274,0.7670431516778948,0.5483892565759848,0.3678212263665426
lending_club,6.2838735321702925,2.0000000000159712,0.4235215968046635,0.7712704667176223,0.5676540520364464,0.37714586831666774
lending_club,6.683775506458074,2.0000000000159712,0.4176491841602759,0.7753936166727511,0.587564767383281,0.38660697237755676
lending_club,7.10912700455001,2.0000000000159712,0.411828874052039,0.7794118516651711,0.6081170847369013,0.39619175553816244
lending_club,7.561547619005033,2.0000000000159712,0.4060667440672305,0.783324553389221,0.6293041812535727,0.4058866985372454
lending_club,8.042760012289277,2.0000000000159712,0.40036194430860517,0.7871309175167969,0.6511166269773322,0.4156776041324965
lending_club,8.554596476083683,2.0000000000159712,0.3947161718567558,0.7908325564246724,0.67354229972123,0.4255496637117285
lending_club,9.099005908022017,2.0000000000159712,0.3891393228523703,0.7944290784676673,0.6965663192608508,0.4354875317563303
lending_club,9.678061232424364,2.0000000000159712,0.38362932446947523,0.7979204278015389,0.7201710029794355,0.4454754075169185
lending_club,10.293967293281677,2.0000000000159712,0.3781910880858922,0.8013065831881123,0.7443358449036301,0.45549712311618945
lending_club,10.949069249545177,2.0000000000159712,0.3728262837969653,0.8045884366272492,0.7690375198121816,0.4655362371583424
lending_club,11.64586150468697,2.0000000000159712,0.3675340458689822,0.8077681100142985,0.7942499137889141,0.47557613280209377
lending_club,12.386997204532587,2.0000000000159712,0.36231973078026786,0.810846352719276,0.8199441822299544,0.4856001191489214
lending_club,13.175298339529963,2.0000000000159712,0.3571844006672033,0.8138236288534031,0.8460888359093026,0.4955915347132528
lending_club,14.013766489920767,2.0000000000159712,0.3521300100019983,0.816702180174403,0.8726498552640721,0.505533851679682
lending_club,14.905594254728081,2.0000000000159712,0.3471595668828598,0.8194826084532608,0.8995908325904017,0.5154107796163603
lending_club,15.854177408078028,2.0000000000159712,0.34227547229893013,0.8221666070857191,0.9268731413539018,0.5252063673049882
lending_club,16.863127829142506,2.0000000000159712,0.3374803830546424,0.8247562443882587,0.9544561313264609,0.5349051013671922
lending_club,17.936287254935763,2.0000000000159712,0.33277888477601525,0.8272529033331644,0.9822973477769311,0.5444920004144105
lending_club,19.077741908330783,2.0000000000159712,0.32817026096691626,0.82965737014048,1.0103527724796761,0.5539527035228601
lending_club,20.291838056993928,2.0000000000159712,0.32365705995223853,0.831972288080975,1.0385770838750361,0.5632735519349412
lending_club,21.583198562480927,2.0000000000159712,0.3192414998114623,0.8341991613860434,1.0669239333317393,0.5724416630110067
lending_club,22.956740482507495,2.0000000000159712,0.3149194241801111,0.8363405569555405,1.0953462341344058,0.5814449955975656
lending_club,24.417693793417985,2.0000000000159712,0.31069272036121465,0.8383981119840095,1.1237964595591654,0.5902724061358579
lending_club,25.9716213041408,2.0000000000159712,0.3065651417102104,0.8403736161295418,1.1522269462149488,0.5989136950040675
lending_club,27.624439837456094,2.0000000000159712,0.30253702871216254,0.8422691398163091,1.1805901987227236,0.6073596427626896
lending_club,29.38244275922676,2.0000000000159712,0.29860901194111683,0.8440864509222841,1.2088391917830124,0.6156020361510556
lending_club,31.252323941376254,2.0000000000159712,0.2947820686767279,0.8458276771797396,1.2369276657439725,0.6236336838591334
lending_club,33.2412032498561,2.0000000000159712,0.291056495685023,0.8474947284542137,1.264810411926183,0.6314484222680409
lending_club,35.356653654652476,2.0000000000159712,0.28743199580196027,0.849089743665606,1.2924435441814266,0.6390411115111947
lending_club,37.60673006505749,2.0000000000159712,0.28390572447845,0.850615064352677,1.3197847534543885,0.6464076223521067
lending_club,40.0,2.0000000000159712,0.2804788000294033,0.8520730457142653,1.3467935424693944,0.6535448145015583
mimic_sim,1.0,2.500000000231466,0.777326773028132,0.777326773028132,0.28555864400000974,0.22979062675286577
mimic_sim,1.05,2.500000000231466,0.7730568716462783,0.7815291134104901,0.29044259165355113,0.2330518680433108
mimic_sim,1.1168213755182226,2.500000000231466,0.7675632950197412,0.7867440938840312,0.29688071054251475,0.23734464216915258
mimic_sim,1.1878952236327758,2.500000000231466,0.7619678859828664,0.7918457783324214,0.3036217479967377,0.24182439239327536
mimic_sim,1.2634921691705554,2.500000000231466,0.7562753544109874,0.796831944839864,0.31067656781010944,0.24648901991181443
mimic_sim,1.343900059361488,2.500000000231466,0.750490432362195,0.8017008463042623,0.3180560676663732,0.25133602790449594
mimic_sim,1.429425059862017,2.500000000231466,0.7446164538854667,0.8064511294872361,0.3257711393318542,0.2563625287223959
mimic_sim,1.5203928205288717,2.500000000231466,0.7386557961032831,0.811081771146356,0.33383262604979325,0.26156525364106725
mimic_sim,1.6171497153819854,2.500000000231466,0.7326122699834713,0.8155914961409041,0.342251277312202,0.26694056505035046
mimic_sim,1.720064161477915,2.500000000231466,0.7264932472626539,0.8199794182814917,0.35103770122165423,0.2724844709116395
mimic_sim,1.829528021715584,2.500000000231466,0.7203033566288055,0.8242451387464979,0.36020231469027353,0.2781926412772563
mimic_sim,1.9459580969157437,2.500000000231466,0.714045496552047,0.8283881834028067,0.3697552917556848,0.28406042663577397
mimic_sim,2.0697977128554887,2.500000000231466,0.7077277830759822,0.832409169380243,0.37970651032321323,0.2900828778222538
mimic_sim,2.201518408300703,2.500000000231466,0.7013540517003807,0.8363090574667282,0.3900654976695236,0.2962547672138577
mimic_sim,2.3416217304638844,2.500000000231466,0.6949279979563334,0.8400879309662411,0.40084137506460893,0.3025706109193555
mimic_sim,2.4906411447238437,2.500000000231466,0.6884558895041027,0.8437470773126167,0.4120428018861065,0.309024691665659
mimic_sim,2.6491440658788226,2.500000000231466,0.6819439769688902,0.8472883017913476,0.4236779196119105,0.3156110820854743
mimic_sim,2.817734018667355,2.500000000231466,0.6753977875296917,0.8507132689216391,0.4357542960837334,0.3223236681171291
mimic_sim,2.9970529357833944,2.500000000231466,0.6688214790092095,0.8540230383091465,0.4482788704354611,0.32915617224010263
mimic_sim,3.18778360213575,2.500000000231466,0.662225333657337,0.8572198945214936,0.46125789907589576,0.3361021762872015
mimic_sim,3.3906522546587454,2.500000000231466,0.6556094901467826,0.8603063748099034,0.4746969031059242,0.34315514359604293
mimic_sim,3.6064313475732783,2.500000000231466,0.6489869869943092,0.8632844095626051,0.4886006175356248,0.35030844028785296
mimic_sim,3.835942493627453,2.500000000231466,0.6423590345679228,0.8661564078046142,0.5029729426478163,0.35755535548987655
mimic_sim,4.080059592516012,2.500000000231466,0.6357245643935339,0.8689247281093008,0.5178168978316775,0.36488912034825094
mimic_sim,4.339712158390524,2.500000000231466,0.6290879057506539,0.8715915011673516,0.5331345781840959,0.3723029257103354
mimic_sim,4.615888859130343,2.500000000231466,0.6224571590485142,0.8741592581982358,0.5489271141481864,0.37978993838858055
mimic_sim,4.909641280850655,2.500000000231466,0.6158335773617367,0.876630461254785,0.565194634428904,0.38734331595143145
mimic_sim,5.222087931981597,2.500000000231466,0.6092206939085855,0.8790074091756962,0.5819362323958066,0.39495622001988284
mimic_sim,5.554418502164569,2.500000000231466,0.6026293048020659,0.8812927583420577,0.5991499361537815,0.40262182808057384
mimic_sim,5.907898392182189,2.500000000231466,0.5960626756792156,0.8834889648010741,0.6168326824348276,0.4103333438571448
mimic_sim,6.2838735321702925,2.500000000231466,0.589520244829596,0.8855986995777883,0.6349802944385943,0.4180840063104626
mimic_sim,6.683775506458074,2.500000000231466,0.5830141973969728,0.8876243793086175,0.6535874637269938,0.42586709736470924
mimic_sim,7.10912700455001,2.500000000231466,0.576544944594424,0.8895685372241078,0.6726477362593138,0.43367594847975977
mimic_sim,7.561547619005033,2.500000000231466,0.5701119123793834,0.8914337687224777,0.6921535026391572,0.44150394621027855
mimic_sim,8.042760012289277,2.500000000231466,0.5637130227427232,0.8932225510346807,0.7120959926332829,0.44934453690814713
mimic_sim,8.554596476083683,2.500000000231466,0.5573508785348937,0.8949372257614142,0.7324652740148583,0.4571912307368624
mimic_sim,9.099005908022017,2.500000000231466,0.5510318378225402,0.8965801514328435,0.7532502557793322,0.4650376051741525
mimic_sim,9.678061232424364,2.500000000231466,0.5447610546732167,0.8981536777611332,0.7744386957795248,0.47287730818208196
mimic_sim,10.293967293281677,2.500000000231466,0.5385354846422319,0.8996601203869161,0.796017212826749,0.48070406122229775
mimic_sim,10.949069249545177,2.500000000231466,0.5323604059530131,0.9011017217448573,0.8179713033059259,0.4885116622878733
mimic_sim,11.64586150468697,2.500000000231466,0.5262443748048706,0.9024807047575124,0.8402853623536536,0.49629398911259504
mimic_sim,12.386997204532587,2.500000000231466,0.5201866480198596,0.9037992354797664,0.8629427096479284,0.504045002703843
mimic_sim,13.175298339529963,2.500000000231466,0.5141866321717822,0.9050594245278167,0.8859256198556515,0.5117587513268385
mimic_sim,14.013766489920767,2.500000000231466,0.5082449658960797,0.906263334750754,0.9092153577781047,0.5194293750465224
mimic_sim,14.905594254728081,2.500000000231466,0.5023660590094624,0.9074129998023797,0.9327922182244077,0.5270511109093083
