dataset,seed,gamma0,n_test,wc_mid_plugin,wc_lo_plugin,wc_hi_plugin,wc_p1_plugin,wc_width_only,wc_mid_linear,wc_ranker,wc_ranker_train,wc_mid_linear_train,gain_ranker_over_mid_linear,gain_ranker_over_mid_plugin,gain_ranker_train,spread_plugin_orderings
sl_bench,0,2.497191113841987,2400,0.5576609497538915,0.5542477206938883,0.5556745386481935,0.5573760455303721,0.4927063102139067,0.5272150778535751,0.5272150778535751,0.5349085502880327,0.5349085502880327,0.0,-0.030445871900316335,0.0,0.0034132290600031867
sl_bench,1,2.4956777669131416,2400,0.5554781490090942,0.5548925765479554,0.5548581875741792,0.5554277553653092,0.5116406690907651,0.5287179717719357,0.5287179717719357,0.5342874576390765,0.5342874576390765,0.0,-0.02676017723715851,0.0,0.0006199614349150506
sl_bench,2,2.5735969617616914,2400,0.5201846984354284,0.5172946435482089,0.5186891845161807,0.5199855211895122,0.49270183445498794,0.4957169403473283,0.4957169403473283,0.49807666743958906,0.49807666743958906,0.0,-0.024467758088100033,0.0,0.0028900548872194953
sl_bench,3,2.7833777266219526,2400,0.4623905793147242,0.45638646975281705,0.45820940439056423,0.46227922704026775,0.4331925133818125,0.4376678128331502,0.4376678128331502,0.43961253795821265,0.43961253795821265,0.0,-0.02472276648157401,0.0,0.006004109561907167
sl_bench,4,2.5566063897281657,2400,0.4918460151935294,0.4843839819888519,0.4848389365276044,0.49197213463045314,0.4476931090916824,0.47029316872113264,0.47029316872113264,0.47241101841357636,0.47241101841357636,0.0,-0.021552846472396747,0.0,0.007588152641601231
lending_club,0,2.0000000000159712,3943,0.5540759365705625,0.553088804816651,0.5534933636929565,0.554092014013048,0.5472248380033735,0.5201091017693681,0.5201091017693681,0.5210535285036424,0.5210535285036424,0.0,-0.033966834801194445,0.0,0.0010032091963969592
lending_club,1,2.0000000000297806,3943,0.5432959723475176,0.5422097701379498,0.5423928442828893,0.5434209948829973,0.5354151600572841,0.5089142739446885,0.5091741161989922,0.5108806218362275,0.510420908746,0.00025984225430375485,-0.034121856148525365,0.0004597130902275204,0.0012112247450475344
lending_club,2,1.9999999999384956,3943,0.5707769229582441,0.5694405435530042,0.5702084853337953,0.570742170914935,0.5629361445475725,0.520763239217344,0.5205898642020347,0.5241608142780553,0.5240634405452246,-0.00017337501530934052,-0.050187058756209435,9.737373283069672e-05,0.0013363794052398958
lending_club,3,1.9999999999053382,3943,0.5452233700484093,0.5440185391307067,0.5444929552999825,0.5452749002015838,0.53790605571744,0.510449861074219,0.510449861074219,0.514736452003548,0.514736452003548,0.0,-0.03477350897419029,0.0,0.00125636107087701
lending_club,4,2.000000000132596,3943,0.5495004067807059,0.5475225182312026,0.5488872127984932,0.5494312079030271,0.5413961883033439,0.5132542018622192,0.5132542018622192,0.5112803434009637,0.5112803434009638,0.0,-0.036246204918486735,-1.1102230246251565e-16,0.001977888549503315
