gamma,log_gamma,B,rate_exponent,coefficient
1.5,0.4054651081081644,5.368755513139748,-0.5189263324981299,2.242690506591779
2.0,0.6931471805599453,5.6564375855915285,-0.5142868072990863,2.3765611168111387
3.0,1.0986122886681098,6.061902693699693,-0.4897196698428376,2.468276261219278
6.0,1.791759469228055,6.7550498742596385,-0.5344719754304916,2.687411482305007
12.0,2.4849066497880004,7.448197054819584,-0.4912054113045578,2.803599489118976
24.0,3.1780538303479458,8.14134423537953,-0.4906400878187862,2.774933499469108
